wavelength	ocp	red	diff
738.17	-0.0006	0.0425	0.0431
738.74	-0.0007	0.0418	0.0425
739.3	-0.0008	0.0412	0.042
739.87	-0.0009	0.0405	0.0414
740.44	-0.0009	0.0399	0.0408
741.01	-0.0009	0.0393	0.0402
741.57	-0.0009	0.0388	0.0397
742.14	-0.0009	0.0382	0.0391
742.71	-0.0008	0.0377	0.0385
743.27	-0.0008	0.0373	0.0381
743.84	-0.0006	0.0369	0.0375
744.41	-0.0005	0.0365	0.037
744.98	-0.0004	0.0362	0.0366
745.54	-0.0002	0.0358	0.036
746.11	0	0.0355	0.0355
746.68	0.0001	0.0351	0.035
747.24	0.0003	0.0348	0.0345
747.81	0.0004	0.0344	0.034
748.38	0.0005	0.034	0.0335
748.94	0.0006	0.0337	0.0331
749.51	0.0007	0.0332	0.0325
750.08	0.0007	0.0328	0.0321
750.65	0.0006	0.0322	0.0316
751.21	0.0006	0.0317	0.0311
751.78	0.0004	0.0311	0.0307
752.34	0.0003	0.0305	0.0302
752.91	0.0003	0.03	0.0297
753.48	0.0002	0.0295	0.0293
754.04	0.0002	0.029	0.0288
754.61	0.0001	0.0285	0.0284
755.18	0.0001	0.028	0.0279
755.74	0	0.0275	0.0275
756.31	0	0.0271	0.0271
756.88	0.0001	0.0268	0.0267
757.44	0.0002	0.0264	0.0262
758.01	0.0003	0.0261	0.0258
758.57	0.0005	0.0258	0.0253
759.14	0.0006	0.0255	0.0249
759.71	0.0008	0.0252	0.0244
760.27	0.0008	0.0249	0.0241
760.84	0.0009	0.0245	0.0236
761.4	0.0009	0.0241	0.0232
761.97	0.0008	0.0237	0.0229
762.54	0.0008	0.0232	0.0224
