	A	B	C
551.0	1.3116114933529852e+37	1.3116114933529847e+37	1.6720118579003884e+37
552.0	1.323398483858619e+37	1.3233984838586182e+37	1.7048748330327894e+37
553.0	1.3484321204793247e+37	1.3484321204793242e+37	1.7345369843730093e+37
554.0	1.3163554663673442e+37	1.3163554663673437e+37	1.724389633368505e+37
555.0	1.345812685979489e+37	1.3458126859794888e+37	1.7409686711296715e+37
556.0	1.3589300748590867e+37	1.358930074859086e+37	1.7921098277753763e+37
557.0	1.383048024097558e+37	1.3830480240975578e+37	1.804508241211462e+37
558.0	1.4078412303998004e+37	1.4078412303998004e+37	1.8431171985775376e+37
559.0	1.4193000780123977e+37	1.419300078012397e+37	1.877773900500026e+37
560.0	1.3590158617165934e+37	1.3590158617165925e+37	1.838112766886463e+37
561.0	1.4239648266227803e+37	1.4239648266227798e+37	1.88618883558848e+37
562.0	1.4350359380885836e+37	1.435035938088583e+37	1.9095306143507838e+37
563.0	1.4439016053753198e+37	1.4439016053753193e+37	1.9465892279653775e+37
564.0	1.482704884069516e+37	1.4827048840695152e+37	1.9684942044636552e+37
565.0	1.5118595157292733e+37	1.5118595157292726e+37	2.0449080532711826e+37
566.0	1.4593822843949431e+37	1.4593822843949427e+37	1.9954852036379908e+37
567.0	1.4969329878915589e+37	1.4969329878915589e+37	2.0418732515203361e+37
568.0	1.4570959439375593e+37	1.457095943937559e+37	2.0117767845567153e+37
569.0	1.5062511450545163e+37	1.5062511450545156e+37	2.0550687016442338e+37
570.0	1.52994225758751e+37	1.5299422575875091e+37	2.0923554821862386e+37
571.0	1.5511966955107253e+37	1.551196695510725e+37	2.1138244444167147e+37
572.0	1.4895942711748098e+37	1.4895942711748088e+37	2.0701046326025362e+37
573.0	1.466705666424874e+37	1.4667056664248734e+37	2.0384463026878044e+37
574.0	1.479575694901712e+37	1.4795756949017115e+37	2.0359473235957202e+37
575.0	1.4781418094937835e+37	1.4781418094937826e+37	2.0435461858457734e+37
576.0	1.4269163864986287e+37	1.4269163864986285e+37	2.0245497487257521e+37
577.0	1.4813548490881266e+37	1.4813548490881264e+37	2.0651700483110777e+37
578.0	1.5479902006104723e+37	1.5479902006104718e+37	2.1227963634349363e+37
579.0	1.524843031838226e+37	1.5248430318382252e+37	2.1369882003146704e+37
580.0	1.4631019048630623e+37	1.4631019048630616e+37	2.097564030656269e+37
581.0	1.535661362124092e+37	1.5356613621240915e+37	2.192889134509352e+37
582.0	1.5196488394996177e+37	1.5196488394996177e+37	2.1297710510154903e+37
583.0	1.5364221412072203e+37	1.5364221412072198e+37	2.138156652069951e+37
584.0	1.505764346850288e+37	1.5057643468502873e+37	2.1409945458676955e+37
585.0	1.4831059267047352e+37	1.4831059267047345e+37	2.0831529763300845e+37
586.0	1.518176772366648e+37	1.518176772366647e+37	2.1247204872152323e+37
587.0	1.485077331116837e+37	1.4850773311168364e+37	2.0713483525704237e+37
588.0	1.395870275572836e+37	1.3958702755728352e+37	2.0130762870840494e+37
589.0	1.40415088077067e+37	1.40415088077067e+37	1.998274764039783e+37
590.0	1.4928479698796397e+37	1.492847969879639e+37	2.0526913404883134e+37
591.0	1.5096285933848702e+37	1.5096285933848698e+37	2.099725170106161e+37
592.0	1.3776239919361384e+37	1.377623991936138e+37	1.967187069208878e+37
593.0	1.428112012240627e+37	1.4281120122406266e+37	2.014970241822372e+37
594.0	1.4429569094246136e+37	1.4429569094246132e+37	2.0327417727493697e+37
595.0	1.3814556666716082e+37	1.3814556666716075e+37	1.9475711960587665e+37
596.0	1.3934450361525855e+37	1.3934450361525848e+37	1.953862413251351e+37
597.0	1.4073793076668098e+37	1.407379307666809e+37	1.9596043138968118e+37
598.0	1.3946382883960527e+37	1.3946382883960522e+37	1.9616635373060782e+37
599.0	1.4147280360201519e+37	1.4147280360201516e+37	1.9974669802430142e+37
600.0	1.3517601315791856e+37	1.3517601315791854e+37	1.8930615215797973e+37
601.0	1.4232593748615838e+37	1.4232593748615829e+37	2.002229935892569e+37
602.0	1.4288227041243718e+37	1.428822704124371e+37	1.9470345286334326e+37
603.0	1.4373202354010083e+37	1.4373202354010073e+37	1.9510743185150796e+37
604.0	1.3300915720938582e+37	1.3300915720938575e+37	1.8810929715500068e+37
605.0	1.350873484176974e+37	1.3508734841769734e+37	1.868859453414861e+37
606.0	1.3877035171071334e+37	1.387703517107133e+37	1.9169260616459525e+37
607.0	1.3570256612815708e+37	1.3570256612815703e+37	1.8846526831025034e+37
608.0	1.3797753514456826e+37	1.3797753514456821e+37	1.8572528760191452e+37
609.0	1.3684892570819807e+37	1.36848925708198e+37	1.8264877627666867e+37
610.0	1.3048751118278907e+37	1.30487511182789e+37	1.7915504442755719e+37
611.0	1.309301787419344e+37	1.3093017874193433e+37	1.7744696682999352e+37
612.0	1.3029731349450192e+37	1.3029731349450185e+37	1.7676876878879764e+37
