	A	B	C
699.0	166086239026.02258	166086239026.0227	173769254426.8461
700.0	174044632011.14874	174044632011.14883	182450948951.29095
701.0	168063306754.59027	168063306754.5904	176023528058.7397
702.0	163681137509.65	163681137509.6501	170750509780.36172
703.0	173897781319.2199	173897781319.22	180167576705.16077
704.0	163525396865.84787	163525396865.84796	167774462226.1263
705.0	174536795917.4421	174536795917.4423	182809245404.1637
706.0	166896077122.2013	166896077122.20142	172227046543.142
707.0	170855180800.98517	170855180800.9853	172775610632.25833
708.0	160811490030.19247	160811490030.19263	165213260047.62607
709.0	159732411435.0357	159732411435.0358	165494271409.11932
710.0	179591909030.16138	179591909030.16153	180959224977.49496
711.0	161008159177.31787	161008159177.318	163619093676.72485
712.0	165011741618.84863	165011741618.84872	166126260517.92438
713.0	161492475459.61972	161492475459.61984	160790406685.54166
714.0	164162051702.35352	164162051702.35367	161379646884.0703
715.0	168494512128.53326	168494512128.53345	165120018509.8711
716.0	162367689739.18063	162367689739.18073	159758539343.08054
717.0	173183166063.56827	173183166063.5684	169691144052.61453
718.0	166649524079.08215	166649524079.08228	165883770928.78104
719.0	171785971915.98788	171785971915.98804	167196831006.46274
720.0	162122656815.67444	162122656815.67453	160723734417.2819
721.0	164177258681.82556	164177258681.82568	161583764658.31464
722.0	176144529903.71606	176144529903.71622	166643826272.71075
723.0	179330007790.43338	179330007790.43356	168875222754.30792
724.0	160477498055.41476	160477498055.4149	151066449109.8342
725.0	167275125913.5295	167275125913.5296	152371422453.57587
726.0	158835280707.78577	158835280707.7859	152250157399.69336
727.0	165111261259.34546	165111261259.3456	156243703776.5959
728.0	154133618895.99423	154133618895.9944	150632567508.26016
729.0	164527729360.5155	164527729360.5156	159096308887.07593
730.0	153152927716.84967	153152927716.84982	143336078783.32895
731.0	169424541546.77075	169424541546.77084	165270364644.95215
732.0	151911057799.15717	151911057799.1573	148906547465.56412
733.0	159880527478.9889	159880527478.989	154849878796.76312
734.0	153437027547.59494	153437027547.59503	151708696160.77118
735.0	158799883989.64868	158799883989.6488	150568124760.0324
736.0	141684425036.69452	141684425036.6946	136531337453.77753
737.0	163045043414.96655	163045043414.96664	162224977572.92758
738.0	155936056968.60385	155936056968.60397	156265068546.4974
739.0	154956308456.9578	154956308456.9579	155022828070.19345
740.0	155358636738.29718	155358636738.29727	155104668220.52155
741.0	158966564346.3131	158966564346.3133	155792855504.827
742.0	150887597629.47488	150887597629.47498	153837221686.43723
743.0	154202968911.54312	154202968911.54324	154099045941.14395
744.0	146209464356.97763	146209464356.97772	145108140387.0277
745.0	146968055573.37305	146968055573.3731	146398291931.06155
746.0	149079290421.805	149079290421.80508	146862404236.9793
747.0	154423348335.30286	154423348335.30292	149184733117.3904
748.0	147473697042.41272	147473697042.41284	146640559508.31573
749.0	148505733223.05722	148505733223.05734	143297947538.36575
750.0	147471021610.41428	147471021610.4144	143313150661.81915
751.0	145846167924.97656	145846167924.97665	141920143726.60687
752.0	139746848607.23672	139746848607.2368	133488670572.23158
753.0	141480690254.20526	141480690254.20535	137678045047.1304
754.0	150082070352.2167	150082070352.2168	144405670642.54904
755.0	146248557660.4145	146248557660.41458	139032343881.8525
756.0	147900838700.79315	147900838700.79324	140936886014.07925
757.0	152340148968.67575	152340148968.67587	144184737495.83502
758.0	144744398812.33658	144744398812.3367	138224270042.18253
759.0	145412431245.78113	145412431245.78122	138868742876.14496
760.0	143130496033.44357	143130496033.44366	137007755278.45996
761.0	144927250696.25763	144927250696.25772	139694943280.84927
762.0	145259714378.40216	145259714378.40228	139464092976.3603
763.0	147756443037.61807	147756443037.6182	142122449132.5346
764.0	142468045866.7123	142468045866.71243	138295314087.5791
765.0	141343217944.25085	141343217944.25095	136395566601.607
766.0	139007321883.1967	139007321883.19678	134855153462.02878
767.0	144857219619.25394	144857219619.25403	140070855108.82492
768.0	139104938437.29868	139104938437.29883	134825405599.82689
769.0	143432224573.6798	143432224573.67993	140761338631.72354
