	A	B	C
609.0	277834631398.2669	277834631398.26654	370479228472.4874
610.0	264900838490.9591	264900838490.95862	363383388625.8959
611.0	265811414845.99194	265811414845.9916	359923343552.6868
612.0	264499191024.7108	264499191024.71036	358552168736.2468
613.0	264183462655.70587	264183462655.70554	356209789049.6947
614.0	260113747168.27866	260113747168.27835	349389685776.61255
615.0	278815335762.39764	278815335762.3972	369607113649.0414
616.0	264316304303.28217	264316304303.28183	342558674345.9447
617.0	242543013146.79922	242543013146.79892	332896452251.34894
618.0	266909287281.8494	266909287281.8489	353899427375.8072
619.0	254904432220.84973	254904432220.8494	325617626954.9617
620.0	245887112087.4183	245887112087.418	337291878608.5168
621.0	249818294362.7294	249818294362.72903	327956787688.17694
622.0	242152205888.79562	242152205888.79526	324473115702.8813
623.0	247247484943.8062	247247484943.8059	330393186893.8005
624.0	252663328878.44818	252663328878.4478	332893895226.5155
625.0	243813957400.49402	243813957400.49368	314284116529.43384
626.0	266478788008.9021	266478788008.90164	335723083404.69824
627.0	262771335226.80682	262771335226.80646	331979394146.2091
628.0	251989611062.0248	251989611062.02444	316040725161.9191
629.0	239175437268.51483	239175437268.5145	303206597243.66296
630.0	250688496712.22775	250688496712.22748	316475125868.2362
631.0	234474583548.93488	234474583548.9346	293847907988.55347
632.0	251841749856.58978	251841749856.58942	321156159215.6744
633.0	218354929853.4196	218354929853.4193	288589324304.20074
634.0	223150313176.1483	223150313176.14798	280401816693.9308
635.0	247276152655.6356	247276152655.63522	308265267500.6068
636.0	215849989160.38922	215849989160.38895	283331027506.21576
637.0	230184099983.41995	230184099983.4197	286742916825.0011
638.0	251387761756.84598	251387761756.84558	303750191095.16534
639.0	228164966162.42657	228164966162.42624	276620887282.66425
640.0	199006242924.2428	199006242924.24252	255382534211.74402
641.0	233023958999.86053	233023958999.86026	280326668526.5435
642.0	224015990660.02646	224015990660.02618	273367364519.01123
643.0	242231446636.68896	242231446636.6886	293592105622.5199
644.0	238784794032.3819	238784794032.38156	284474772921.7827
645.0	221334096233.61307	221334096233.61276	270265957627.83005
646.0	244948112677.53345	244948112677.5331	275901111513.5862
647.0	233592087140.53278	233592087140.5325	279408289380.8491
648.0	220323608799.09595	220323608799.09564	261970952030.22208
649.0	240145033145.67096	240145033145.67072	282206844345.79114
650.0	239390867200.75836	239390867200.75806	270078049408.1704
651.0	224244085260.4165	224244085260.4162	269032622014.09967
652.0	225502079752.59082	225502079752.5905	260994724726.2106
653.0	198687587738.66437	198687587738.6641	240712698755.70605
654.0	223516474733.39713	223516474733.39688	253748951315.3688
655.0	190883711818.55142	190883711818.55118	227004342208.77576
656.0	196674258833.93967	196674258833.93936	229193935638.67438
657.0	210121994804.02585	210121994804.0256	247386206703.9589
658.0	217360730429.48553	217360730429.48523	256953916195.97662
659.0	216978239347.57687	216978239347.57663	245763747579.20328
660.0	217234412752.65442	217234412752.65414	240440377039.87827
661.0	200713347910.75107	200713347910.75076	232688519397.62833
662.0	209426308645.99432	209426308645.99402	238590011544.44458
663.0	222694423005.7701	222694423005.76974	249361464873.36954
664.0	202148389635.9141	202148389635.91382	231194917829.53378
665.0	196439631642.79376	196439631642.79352	223304455613.8904
666.0	227152019567.0665	227152019567.0662	250309595405.28534
667.0	169120771632.36224	169120771632.362	196473806859.18634
668.0	161915531963.80023	161915531963.80002	190896354391.3781
669.0	209590909797.34152	209590909797.34122	234737745192.1779
670.0	187678875135.64365	187678875135.64334	207174573138.62863
671.0	197651389175.2275	197651389175.22723	224048362034.5092
672.0	190124136095.0901	190124136095.08978	220580430054.77228
673.0	178789710915.36792	178789710915.36765	201697777409.3304
674.0	183327764020.89514	183327764020.8949	208080994595.75964
675.0	183752419469.641	183752419469.64072	205931543289.30737
676.0	185783586262.43585	185783586262.43558	211247359551.53033
677.0	185883791757.65036	185883791757.65005	206717506025.3761
678.0	188909006480.70016	188909006480.6999	206348133545.25497
679.0	175588180149.39493	175588180149.39465	185454106836.8421
680.0	178719461870.6504	178719461870.6502	187282613472.45792
681.0	171775197397.51773	171775197397.5175	192038689020.1214
682.0	197696718945.87372	197696718945.87347	202342838677.32724
683.0	180353671712.4973	180353671712.4971	201480986341.14407
684.0	174170982292.9155	174170982292.91528	193643901302.1095
685.0	187133495605.42584	187133495605.42554	209175712861.0452
686.0	195853091835.0027	195853091835.00244	208143231792.7707
687.0	185937414874.60165	185937414874.60138	204718558613.56638
688.0	177698556163.06915	177698556163.06888	190558240816.15567
689.0	178696000160.0944	178696000160.09412	195652167914.79385
690.0	177049949685.05997	177049949685.05972	186155810651.59143
691.0	184065683464.6133	184065683464.61307	198234179425.7364
692.0	162802382181.71704	162802382181.7168	180464897738.20312
693.0	156448241938.93912	156448241938.93884	171917603941.46796
694.0	177646202410.89413	177646202410.8939	187676853364.35022
695.0	176616219287.27112	176616219287.27087	184395387420.93436
696.0	159643121911.9863	159643121911.98608	169194132454.92755
697.0	172856883259.145	172856883259.14474	178936631625.23834
698.0	176744743064.41595	176744743064.41568	181477712116.98642
699.0	166150721267.2728	166150721267.27252	173514819016.62036
700.0	174091545924.6496	174091545924.64938	182186384256.00827
701.0	168110977842.2654	168110977842.26517	175767905826.6293
702.0	163740292611.66678	163740292611.66653	170501303332.2219
703.0	173973613531.9871	173973613531.98682	179902859925.75937
704.0	163601712199.82443	163601712199.8242	167530795218.9471
705.0	174577007941.13428	174577007941.134	182547748026.56946
706.0	166991849128.20096	166991849128.20074	171970715052.46005
707.0	170923390254.37497	170923390254.37473	172529502116.9831
708.0	160874314706.4602	160874314706.45996	164974395186.5884
709.0	159795166068.66614	159795166068.6659	165251396996.46634
710.0	179679802790.575	179679802790.5747	180697682831.54242
711.0	161085148327.52795	161085148327.52774	163381471706.71732
712.0	165080853621.41052	165080853621.41028	165889520129.22
713.0	161558496278.34006	161558496278.3398	160567307621.2479
714.0	164264285380.8191	164264285380.81888	161149031807.54123
715.0	168599172040.12314	168599172040.12286	164884316309.947
716.0	162454255719.7762	162454255719.77594	159533750073.28073
717.0	173286612027.91873	173286612027.91846	169448374335.52188
718.0	166738631283.19614	166738631283.1959	165647868192.54932
719.0	171894321739.274	171894321739.27374	166961062854.33105
720.0	162210439087.26422	162210439087.264	160493905462.19775
721.0	164262508875.59018	164262508875.58994	161355338537.90558
722.0	176270137794.03445	176270137794.03424	166413649595.92963
723.0	179465042480.17902	179465042480.17877	168641129655.94434
724.0	160588259046.69217	160588259046.692	150858424485.959
725.0	167402170200.9609	167402170200.96063	152165787664.79263
726.0	158960550835.53836	158960550835.53818	152030095318.29306
727.0	165217152077.90094	165217152077.9007	156031179008.57413
728.0	154238338333.80847	154238338333.80823	150414710977.4569
729.0	164632088320.69705	164632088320.6968	158871875214.85623
730.0	153273704967.43405	153273704967.4338	143133600922.4335
731.0	169543300424.64398	169543300424.6438	165031926775.24655
732.0	151994692209.4001	151994692209.39987	148695610381.88992
733.0	159970114093.09723	159970114093.09705	154632270309.45172
734.0	153534945375.26654	153534945375.2663	151491149148.42072
735.0	158894596307.39032	158894596307.3901	150362956956.30634
736.0	141786562775.63275	141786562775.63257	136336342731.90422
737.0	163106143216.87112	163106143216.8709	161996963592.13617
738.0	156010520336.49106	156010520336.49078	156042787537.76572
739.0	155024699988.94995	155024699988.9497	154804127182.60147
740.0	155414447356.25378	155414447356.25357	154884737657.2259
741.0	159034203258.3316	159034203258.33136	155576558231.1814
742.0	150944900453.28287	150944900453.28265	153620223886.93997
743.0	154258106248.0454	154258106248.04517	153885078016.79895
744.0	146275037666.46442	146275037666.46414	144903035861.19485
745.0	147024074828.3565	147024074828.3563	146193439964.66034
746.0	149147363495.7714	149147363495.7712	146656546777.96173
747.0	154497104382.3648	154497104382.3646	148981482729.7773
748.0	147528826903.26575	147528826903.26556	146437196983.2069
749.0	148580544201.36914	148580544201.3689	143101730021.0182
750.0	147550357626.3582	147550357626.358	143113280713.59534
751.0	145917236643.83273	145917236643.83255	141724416190.12607
752.0	139828101367.73553	139828101367.73532	133303095277.6264
753.0	141548004500.60358	141548004500.6034	137488551658.66895
754.0	150166729637.68527	150166729637.685	144205558913.81604
755.0	146330506450.20724	146330506450.20703	138843336393.0194
756.0	147992472188.31558	147992472188.3154	140742694322.48193
757.0	152430326181.6339	152430326181.63373	143987397328.80328
758.0	144830973829.0146	144830973829.01437	138033164017.3157
759.0	145495268761.33398	145495268761.33377	138678070180.31854
760.0	143207081444.95615	143207081444.9559	136819747926.45386
761.0	145009059396.60324	145009059396.60306	139500887217.76422
762.0	145343157012.7373	145343157012.7371	139270654359.49286
763.0	147833232475.78906	147833232475.78885	141926143075.37585
764.0	142533022029.63254	142533022029.6323	138105030219.47736
765.0	141412675258.95084	141412675258.95062	136208853138.35265
766.0	139076116913.79834	139076116913.79816	134668808434.75818
767.0	144925283798.3704	144925283798.3702	139879722751.25198
768.0	139167503195.99338	139167503195.99316	134640025446.84479
769.0	143488376092.0997	143488376092.0995	140567799127.7285
